"","side_of_field","yardline_100","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","drive","qtr","down","goal_to_go","ydstogo","ydsnet","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","pass_length","pass_location","air_yards","yards_after_catch","td_team","score_differential","jax_score","opp_score","jax_timeouts_remaining","opp_timeouts_remaining","offensive_play"
"1076","OPP",76,856,1756,3556,"Half1",1,1,2,0,11,75,8,1,0,1,0,"short","right",7,1,"0",0,0,0,3,3,0
"1077","OPP",68,816,1716,3516,"Half1",1,1,3,0,3,75,68,1,0,1,0,"short","middle",7,61,"2",0,0,6,3,3,0
"1081","JAX",76,767,1667,3467,"Half1",2,1,2,0,11,6,7,1,0,1,0,"short","right",-1,8,"0",-7,0,7,3,3,1
"1082","JAX",69,718,1618,3418,"Half1",2,1,3,0,4,6,0,1,0,1,0,"deep","right",24,-1,"0",-7,0,7,3,3,1
"1084","OPP",79,704,1604,3404,"Half1",3,1,1,0,10,70,42,1,0,1,0,"deep","right",23,19,"0",7,0,7,3,3,0
"1085","JAX",37,660,1560,3360,"Half1",3,1,1,0,10,70,21,1,0,1,0,"deep","middle",17,4,"0",7,0,7,3,3,0
"1087","JAX",11,582,1482,3282,"Half1",3,1,2,0,5,70,2,1,0,1,0,"short","right",1,1,"0",7,0,7,3,3,0
"1088","JAX",9,545,1445,3245,"Half1",3,1,3,0,3,70,0,1,0,1,0,"short","left",9,-1,"0",7,0,7,3,3,0
"1091","JAX",75,537,1437,3237,"Half1",4,1,1,0,10,75,0,1,0,1,0,"short","right",5,-1,"0",-10,0,10,3,3,1
"1093","JAX",85,505,1405,3205,"Half1",4,1,2,0,20,75,2,1,0,1,0,"short","left",0,2,"0",-10,0,10,3,3,1
"1094","JAX",83,461,1361,3161,"Half1",4,1,3,0,18,75,21,1,0,1,0,"deep","middle",17,4,"0",-10,0,10,3,3,1
"1095","OPP",47,430,1330,3130,"Half1",4,1,1,0,10,75,10,1,0,1,0,"short","left",-1,11,"0",-10,0,10,3,3,1
"1097","OPP",35,337,1237,3037,"Half1",4,1,2,0,8,75,0,0,0,1,0,"short","right",0,-1,"0",-10,0,10,3,3,1
"1098","OPP",35,331,1231,3031,"Half1",4,1,3,0,8,75,35,1,0,1,0,"deep","right",35,0,"1",-10,6,10,3,3,1
"1102","OPP",85,313,1213,3013,"Half1",5,1,1,0,15,80,13,1,0,1,0,"short","right",5,8,"0",3,7,10,3,3,0
"1105","OPP",57,203,1103,2903,"Half1",5,1,2,0,8,80,8,1,0,1,0,"short","right",9,-1,"0",3,7,10,3,3,0
"1106","JAX",49,165,1065,2865,"Half1",5,1,1,0,10,80,49,0,0,1,0,"deep","right",22,27,"2",3,7,16,3,3,0
"1110","JAX",70,117,1017,2817,"Half1",6,1,2,0,5,56,8,1,0,1,0,"short","left",8,0,"0",-10,7,17,3,3,1
"1114","OPP",47,900,900,2700,"Half1",6,2,2,0,7,56,20,1,0,1,0,"short","middle",4,16,"0",-10,7,17,3,3,1
"1116","OPP",37,825,825,2625,"Half1",6,2,1,0,20,56,4,1,0,1,0,"short","left",-1,5,"0",-10,7,17,3,3,1
"1118","OPP",30,738,738,2538,"Half1",6,2,3,0,13,56,11,1,0,1,0,"short","left",7,4,"0",-10,7,17,3,3,1
"1121","OPP",75,696,696,2496,"Half1",7,2,1,0,10,68,41,0,0,1,0,"deep","left",19,22,"0",7,10,17,3,3,0
"1123","JAX",31,619,619,2419,"Half1",7,2,2,0,7,68,22,1,0,1,0,"short","left",5,17,"0",7,10,17,3,3,0
"1124","JAX",9,580,580,2380,"Half1",7,2,1,1,9,68,0,1,0,1,0,"short","left",9,-1,"0",7,10,17,3,3,0
