"","yardline_100","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","goal_to_go","ydstogo","ydsnet","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","air_yards","yards_after_catch","score_differential","first_down_pass","incomplete_pass","interception","safety","jax_score","opp_score","jax_timeouts_remaining","opp_timeouts_remaining","side_of_field_MID","side_of_field_OPP","game_half_Half2","drive_Late","drive_Mid","qtr_2","qtr_3","qtr_4","down_2","down_3","down_4","pass_length_short","pass_location_middle","pass_location_right","td_team_1","td_team_2","Quality"
"1",76,856,1756,3556,0,11,75,8,1,0,1,0,7,1,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2
"2",68,816,1716,3516,0,3,75,68,1,0,1,0,7,61,0,1,0,0,0,0,6,3,3,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
"3",79,704,1604,3404,0,10,70,42,1,0,1,0,23,19,7,1,0,0,0,0,7,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"4",37,660,1560,3360,0,10,70,21,1,0,1,0,17,4,7,1,0,0,0,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"5",11,582,1482,3282,0,5,70,2,1,0,1,0,1,1,7,0,0,0,0,0,7,3,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,3
"6",9,545,1445,3245,0,3,70,0,1,0,1,0,9,0,7,0,1,0,0,0,7,3,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4
"7",85,313,1213,3013,0,15,80,13,1,0,1,0,5,8,3,0,0,0,0,7,10,3,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
"8",57,203,1103,2903,0,8,80,8,1,0,1,0,9,-1,3,1,0,0,0,7,10,3,3,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
"9",49,165,1065,2865,0,10,80,49,0,0,1,0,22,27,3,1,0,0,0,7,16,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"10",75,696,696,2496,0,10,68,41,0,0,1,0,19,22,7,1,0,0,0,10,17,3,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"11",31,619,619,2419,0,7,68,22,1,0,1,0,5,17,7,1,0,0,0,10,17,3,3,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
"12",9,580,580,2380,1,9,68,0,1,0,1,0,9,0,7,0,1,0,0,10,17,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4
"13",7,528,528,2328,1,7,68,0,1,0,1,0,0,0,7,0,0,0,0,10,17,3,3,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,4
"14",75,262,262,2062,0,10,47,18,0,0,1,0,-6,24,7,1,0,0,0,13,20,3,3,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
"15",57,221,221,2021,0,10,47,5,1,0,1,0,5,0,7,0,0,0,0,13,20,3,3,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2
"16",44,120,120,1920,0,10,47,5,1,0,1,0,-5,10,7,0,0,0,0,13,20,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,2
"17",39,82,82,1882,0,5,47,8,0,0,1,0,-6,14,7,1,0,0,0,13,20,3,3,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
"18",31,50,50,1850,0,10,47,3,1,1,1,0,0,3,7,0,0,0,0,13,20,3,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3
"19",28,45,45,1845,0,7,47,0,1,0,1,0,22,0,7,0,1,0,0,13,20,2,3,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,4
"20",28,33,33,1833,0,7,47,0,1,0,1,0,20,0,7,0,1,0,0,13,20,2,3,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,4
"21",59,496,1396,1396,0,9,60,8,1,0,1,0,3,5,10,0,0,0,0,13,23,3,3,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,2
"22",49,415,1315,1315,0,10,60,9,1,0,1,0,7,2,10,0,0,0,0,13,23,2,3,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,2
"23",38,297,1197,1197,0,10,60,12,1,0,1,0,4,8,10,1,0,0,0,13,23,2,3,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1
"24",26,255,1155,1155,0,10,60,0,1,0,1,0,6,0,10,0,1,0,0,13,23,2,3,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,4
"25",16,230,1130,1130,0,10,60,15,1,0,1,0,-4,19,10,1,0,0,0,13,23,2,3,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1
"26",1,185,1085,1085,1,1,60,-1,1,0,1,0,-3,2,10,0,0,0,0,13,23,2,3,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,4
"27",67,15,915,915,0,10,67,7,1,0,1,0,7,0,17,0,0,0,0,13,30,2,3,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,2
"28",17,725,725,725,0,1,67,0,1,0,1,0,0,0,17,0,1,0,0,13,30,2,3,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,4
"29",17,722,722,722,0,1,67,9,1,0,1,0,-2,11,17,1,0,0,0,13,30,2,3,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1
"30",3,662,662,662,1,3,67,3,1,0,1,0,3,0,17,1,0,0,0,13,36,2,3,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1
"31",44,368,368,368,0,8,-5,3,1,0,1,0,-2,5,18,0,0,0,0,19,37,2,3,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,3
"32",51,338,338,338,0,15,-5,0,1,0,1,0,0,0,18,0,1,0,0,19,37,2,3,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,4
"33",17,221,221,221,0,15,-5,0,1,0,1,0,-4,0,18,0,1,0,0,19,37,2,2,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,4
"34",77,690,1590,3390,0,4,9,0,0,0,1,0,6,0,0,0,1,0,0,0,0,3,3,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,4
"35",77,684,1584,3384,0,4,9,3,1,0,1,0,3,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3
"36",92,549,1449,3249,0,10,71,6,1,0,1,0,3,3,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2
"37",75,489,1389,3189,0,10,71,1,1,0,1,0,1,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
"38",67,408,1308,3108,0,2,71,6,1,0,1,0,5,1,0,1,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2
"39",61,372,1272,3072,0,10,71,0,0,0,1,0,34,0,0,0,1,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"40",53,323,1223,3023,0,2,71,3,1,0,1,0,2,1,0,1,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2
"41",50,291,1191,2991,0,10,71,13,0,0,1,0,11,2,0,1,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"42",33,213,1113,2913,0,6,71,7,1,0,1,0,7,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
"43",26,171,1071,2871,0,10,71,0,1,0,1,0,25,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
"44",21,122,1022,2822,0,5,71,0,1,0,1,0,21,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4
"45",92,815,815,2615,0,10,23,28,1,0,1,0,26,2,3,1,0,0,0,0,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"46",69,707,707,2507,0,15,23,0,1,0,1,0,22,0,3,0,1,0,0,0,3,3,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4
"47",67,567,567,2367,0,10,-8,0,0,0,1,0,49,0,3,0,1,0,0,0,3,3,3,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,4
"48",61,134,134,1934,0,10,71,-1,1,0,1,0,-2,1,0,0,0,0,0,3,3,3,3,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,4
