"","side_of_field","yardline_100","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","drive","qtr","down","goal_to_go","ydstogo","ydsnet","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","run_location","run_gap","td_team","score_differential","jax_score","opp_score","jax_timeouts_remaining","opp_timeouts_remaining","offensive_play"
"1075","0",75,896,1796,3596,"1",1,1,1,0,10,75,-1,1,0,0,0,"1","3","0",0,0,0,3,3,0
"1080","2",75,804,1704,3504,"1",2,1,1,0,10,6,-1,1,0,0,0,"0","0","0",-7,0,7,3,3,1
"1086","2",16,623,1523,3323,"1",3,1,1,0,10,70,5,1,0,0,0,"2","0","0",7,0,7,3,3,0
"1096","0",37,379,1279,3079,"1",4,1,1,0,10,75,2,0,0,0,0,"1","3","0",-10,0,10,3,3,1
"1103","0",72,278,1178,2978,"1",5,1,2,0,2,80,13,0,0,0,0,"0","0","0",3,7,10,3,3,0
"1104","0",59,239,1139,2939,"1",5,1,1,0,10,80,2,1,0,0,0,"1","3","0",3,7,10,3,3,0
"1109","2",75,156,1056,2856,"1",6,1,1,0,10,56,5,0,0,0,0,"1","3","0",-10,7,17,3,3,1
"1111","2",62,82,982,2782,"1",6,1,1,0,10,56,12,0,0,0,0,"0","0","0",-10,7,17,3,3,1
"1112","1",50,37,937,2737,"1",6,1,1,0,10,56,3,0,0,0,0,"1","3","0",-10,7,17,3,3,1
"1117","0",33,781,781,2581,"1",6,2,2,0,16,56,3,0,0,0,0,"1","3","0",-10,7,17,3,3,1
"1122","2",34,657,657,2457,"1",7,2,1,0,10,68,3,0,0,0,0,"2","0","0",7,10,17,3,3,0
"1125","2",9,576,576,2376,"1",7,2,2,1,9,68,2,1,0,0,0,"2","0","0",7,10,17,3,3,0
"1133","0",18,357,357,2157,"1",8,2,2,1,18,70,6,1,0,1,1,"2","0","0",-10,10,20,3,3,1
"1139","0",52,182,182,1982,"1",9,2,2,0,5,47,4,1,0,0,0,"1","3","0",7,13,20,3,3,0
"1140","2",48,149,149,1949,"1",9,2,3,0,1,47,4,0,0,0,0,"1","3","0",7,13,20,3,3,0
"1156","2",75,900,1800,1800,"2",11,3,1,0,10,49,6,0,0,0,0,"2","0","0",-10,13,23,3,3,1
"1158","2",69,836,1736,1736,"2",11,3,2,0,4,49,1,0,0,0,0,"1","3","0",-10,13,23,3,3,1
"1162","0",48,682,1582,1582,"2",11,3,3,0,2,49,14,1,0,0,0,"1","3","0",-10,13,23,3,3,1
"1163","0",34,637,1537,1537,"2",11,3,1,0,10,49,6,0,0,0,0,"1","3","0",-10,13,23,3,3,1
"1164","0",28,588,1488,1488,"2",11,3,2,0,4,49,2,0,0,0,0,"1","3","0",-10,13,23,3,3,1
"1166","0",60,530,1430,1430,"2",12,3,1,0,10,60,1,1,0,0,0,"0","0","0",10,13,23,3,3,0
"1169","0",51,452,1352,1352,"2",12,3,3,0,1,60,2,0,0,0,0,"1","3","0",10,13,23,2,3,0
"1171","2",40,371,1271,1271,"2",12,3,2,0,1,60,2,1,0,0,0,"1","3","0",10,13,23,2,3,0
"1172","2",38,336,1236,1236,"2",12,3,1,0,10,60,0,1,0,0,0,"1","3","0",10,13,23,2,3,0
"1180","2",1,148,1048,1048,"2",12,3,1,1,1,60,1,1,0,0,0,"1","3","2",10,13,29,2,3,0
"1186","2",91,63,963,963,"2",13,3,3,0,23,-3,10,1,0,0,0,"1","3","0",-17,13,30,2,3,1
"1190","0",60,900,900,900,"2",14,4,2,0,3,67,3,1,0,0,0,"0","0","0",17,13,30,2,3,0
"1191","0",57,857,857,857,"2",14,4,1,0,10,67,31,1,0,0,0,"0","0","0",17,13,30,2,3,0
"1192","2",26,814,814,814,"2",14,4,1,0,10,67,-1,1,0,0,0,"0","0","0",17,13,30,2,3,0
"1197","2",8,700,700,700,"2",14,4,1,1,8,67,5,1,0,0,0,"1","3","0",17,13,30,2,3,0
"1201","2",79,649,649,649,"2",15,4,1,0,10,79,2,1,0,0,0,"2","0","0",-24,13,37,2,3,1
