"","side_of_field","yardline_100","quarter_seconds_remaining","half_seconds_remaining","game_seconds_remaining","game_half","drive","qtr","down","goal_to_go","ydstogo","ydsnet","play_type","yards_gained","shotgun","no_huddle","qb_dropback","qb_scramble","pass_length","pass_location","air_yards","yards_after_catch","run_location","run_gap","td_team","score_differential","jax_score","opp_score","jax_timeouts_remaining","opp_timeouts_remaining","offensive_play"
"1075","OPP",75,896,1796,3596,"Half1",1,1,1,0,10,75,"run",-1,1,0,0,0,NA,NA,NA,NA,"middle",NA,"0",0,0,0,3,3,0
"1076","OPP",76,856,1756,3556,"Half1",1,1,2,0,11,75,"pass",8,1,0,1,0,"short","right",7,1,NA,NA,"0",0,0,0,3,3,0
"1077","OPP",68,816,1716,3516,"Half1",1,1,3,0,3,75,"pass",68,1,0,1,0,"short","middle",7,61,NA,NA,"2",0,0,6,3,3,0
"1080","JAX",75,804,1704,3504,"Half1",2,1,1,0,10,6,"run",-1,1,0,0,0,NA,NA,NA,NA,"left","end","0",-7,0,7,3,3,1
"1081","JAX",76,767,1667,3467,"Half1",2,1,2,0,11,6,"pass",7,1,0,1,0,"short","right",-1,8,NA,NA,"0",-7,0,7,3,3,1
"1082","JAX",69,718,1618,3418,"Half1",2,1,3,0,4,6,"pass",0,1,0,1,0,"deep","right",24,NA,NA,NA,"0",-7,0,7,3,3,1
"1084","OPP",79,704,1604,3404,"Half1",3,1,1,0,10,70,"pass",42,1,0,1,0,"deep","right",23,19,NA,NA,"0",7,0,7,3,3,0
"1085","JAX",37,660,1560,3360,"Half1",3,1,1,0,10,70,"pass",21,1,0,1,0,"deep","middle",17,4,NA,NA,"0",7,0,7,3,3,0
"1086","JAX",16,623,1523,3323,"Half1",3,1,1,0,10,70,"run",5,1,0,0,0,NA,NA,NA,NA,"right","end","0",7,0,7,3,3,0
"1087","JAX",11,582,1482,3282,"Half1",3,1,2,0,5,70,"pass",2,1,0,1,0,"short","right",1,1,NA,NA,"0",7,0,7,3,3,0
"1088","JAX",9,545,1445,3245,"Half1",3,1,3,0,3,70,"pass",0,1,0,1,0,"short","left",9,NA,NA,NA,"0",7,0,7,3,3,0
